[530773]: 207ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:717 AddRecognizer
[530773]: 207ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x7f8f5b120000
[530773]: 207ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0x7f8f5b120000, p=0x0x7f8f5b120000, tot=1
[530773]: 207ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:179 recognizer_create_speech_recognizer_from_auto_detect_source_lang_config
[530773]: 208ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x7f8f5b1204c0
[530773]: 208ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0x7f8f5b1204c0, p=0x0x7f8f5b1204c0, tot=2
[530773]: 208ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5b1204c0; name='SPEECH-RecoMode'; value=''
[530773]: 208ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxPropertyBagImpl::SetStringValue: this=0x0x007f8f5b82aa90; name='SPEECH-RecoMode'; value='INTERACTIVE'
[530773]: 208ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:877 RecognizeAsync
[530773]: 208ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x6000034a9938
[530773]: 208ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<std::shared_ptr<ISpxRecognitionResult>>, h=0x0x6000034a9938, p=0x0x6000034a9938, tot=1
[757513]: 208ms SPX_TRACE_INFO:  thread_service.cpp:92 Started thread Background with ID [153522ll]
[153522]: 208ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:910 *** CSpxAudioStreamSession::RecognizeAsync kicked-off THREAD started ***
[153522]: 208ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1164 StartRecognizing
[153522]: 208ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1165 [0x7f8f5b82aa00]CSpxAudioStreamSession::StartRecognizing
